,pdate,pdate 2,marka,cheader,cheader 2,comments
224,May 25,2017,Prius Touring IV,Windshield Cracks Easily,"9,884 miles","['bought', 'car', '21417', 'used', '3400', 'mile', 'time', 'may', 'due', 'first', '5000', 'mile', 'maintenance', 'appt', 'road', 'stopped', 'chuck', 'hutton', 'toyota', 'memphis', 'tn', 'work', 'done', 'chip', 'windshield', 'happened', 'day', 'trip', 'decided', 'chip', 'fixed', 'upon', 'return', 'turned', 'key', 'dealership', 'maintenance', 'hour', 'later', 'returned', 'u', 'long', 'crack', 'across', 'windshield', 'tell', 'oil', 'choice', 'would', 'precipitate', 'crack', 'windshield']"
225,Dec 20,2018,Prius 3 Touring 1.8L,Windshield Cracks Easily,"49,500 miles","['easily', 'cracking', 'windshield', 'toyota', 'something', 'expected', 'manufacturer', 'disappointed', 'reading', 'class', 'action', 'lawsuit', 'currently', 'litigation', 'toyota']"
226,Jan 18,2017,Prius,Windshield Cracks Easily,"1,553 miles","['windshield', 'crackedapparently', 'stone', 'chip', 'bottom', 'left', 'corner', 'annoying', 'part', 'would', 'never', 'noticed', 'said', 'stone', 'chip', 'small', 'bottom', 'corner', 'pay', 'get', 'fixed']"
227,Apr 06,2017,Prius,Windshield Cracks Easily,"6,214 miles","['windshield', 'cracked', 'second', 'time', 'literally', 'like', '3', 'month', 'cracked', 'first', 'time', 'replaced', 'toyota', 'said', 'stone', 'chip', 'caused', 'windshield', 'crack', 'located', 'top', 'windshield', 'personally', 'unable', 'see', 'stone', 'chip', 'lady', 'told', 'test', 'run', 'pen', 'crack', 'pen', 'catch', 'stone', 'chip', 'pay', 'replaced', 'annoying']"
228,Nov 04,2018,Prius,Windshield Cracks Easily,"31,000 miles","['third', 'time', 'windshield', 'cracked', 'car', 'little', '2', 'year', 'toyota', 'say', 'stone', 'chip', 'cause', 'windshield', 'cracking', 'really', 'annoying', 'part', 'guy', 'tell', 'u', 'stone', 'chip', 'bottom', 'windshield', 'would', 'able', 'fill', 'dashboard', 'way', 'yet', 'told', 'pay', 'problem', 'keep', 'happening', 'nothing', 'prevent', 'right', 'repaired', 'windshieldwhat', 'point', 'probably', 'going', 'crack']"
229,Oct 01,2018,Prius 1.5L,Windshield Cracks Easily,"65,000 miles","['im', 'big', 'lover', 'toyota', '3rd', 'toyota', 'prius', 'never', 'problem', 'bought', 'one', 'used', 'drove', '5k', 'tiny', 'pebble', 'hit', 'start', 'crack', 'half', 'inch', '2', 'inch', 'per', 'day', 'getting', 'worse', 'toyota', 'recall', 'part', 'thank']"
230,Jan 11,2018,Prius Touring,Windshield Cracks Easily,"27,680 miles","['small', 'pebble', 'hit', 'windshield', 'driving', 'created', 'small', 'round', 'chip', 'along', 'crack', 'thats', 'deep', 'exterior', 'interior', 'windshield', 'glass', 'ive', 'five', 'six', 'vehicle', 'experienced', 'windshield', 'chip', 'w', 'crack', 'exterior', 'surface', 'glass', 'first', 'time', 'ive', 'seen', 'crack', 'started', 'small', 'round', 'chip', 'caused', 'crack', 'windshield', 'glass', 'layer', 'fluke', 'odd', 'angle', 'hitting', 'wrong', 'time', 'maybe', 'phenomenon', 'twice', 'make', 'think', 'poor', 'design', 'flaw', 'property', 'windshield', 'glass', 'im', 'certain', 'crack', 'glass', 'fixed', 'cant', 'afford', 'replace', 'windshield']"
231,Sep 24,2017,Prius,Windshield Cracks Easily,"34,800 miles","['owned', 'many', 'toyota', 'car', 'actually', 'previously', 'owned', '2005', 'prius', 'bought', '2016', 'prius', 'january', '2016', 'car', 'sitting', 'driveway', 'monday', 'morning', 'first', 'crack', 'started', 'base', 'windshield', 'began', 'spread', '90', 'degree', '14', 'way', 'windshield', 'trying', 'find', 'someone', 'replacement', 'car', 'supposedly', 'backorder', 'available', 'second', 'crack', 'started', 'right', 'first', 'also', 'made', '90', 'degree', 'turn', 'dealership', 'state', 'recall', 'issue', 'around', '400', 'replace', 'windshield', 'told', 'also', 'cost', 'side', 'rear', 'camera', 'functionality', 'recalibrated', 'insurance', '500', 'deductible', 'therefore', 'pocket', 'never', 'ever', 'happen', 'car', 'ive', 'ever', 'owned', 'especially', 'sitting', 'driveway', 'dealership', 'mentioned', 'weather', 'change', 'possibly', 'something', 'falling', 'tree', 'case', 'seems', 'like', 'super', 'sensitive', 'windshield', 'would', 'safe', 'ever', 'become', 'involved', 'crash', 'would', 'really', 'love', 'hear', 'toyota', 'replace', 'inspect', 'possible', 'defect']"
232,Jun 01,2017,Prius,Windshield Cracks Easily,"12,000 miles","['tiny', 'pebble', 'flipped', 'hit', 'left', 'edge', 'windshield', 'starting', 'crack', 'slowly', 'advanced', 'rightward', 'across', 'windshield', 'told', 'aftermarket', 'windshield', 'car', 'pay', '900', 'replace', 'seemed', 'strange', 'less', 'three', 'month', 'later', 'happened', 'filing', 'second', 'complaint', 'next']"
233,Aug 24,2017,Prius,Windshield Cracks Easily,"17,000 miles","['without', 'known', 'object', 'striking', 'twomonth', 'old', 'windshield', 'developed', 'crack', 'noted', 'morning', 'got', 'car', 'driving', 'gravel', 'road']"
234,Jun 21,2017,Prius,Windshield Cracks Easily,"19,250 miles","['bought', 'car', 'used', 'drove', '1k', 'tiny', 'pebble', 'hit', 'start', 'crack', 'half', 'inch', '2', 'inch', 'per', 'day', 'getting', 'worse', 'toyota', 'recall', 'part', 'thx']"
235,Aug 08,2017,Prius,Windshield Cracks Easily,"6,000 miles","['small', 'rock', 'hit', 'windshield', 'causing', 'crack', 'size', 'quarter', 'thought', 'could', 'get', 'filled', 'overnight', 'spread', 'long', 'crack', 'across', 'windshield', 'believe', 'window', 'thin', 'lightweight', 'side', 'window', 'crack', 'rock', 'much', 'think', 'design', 'flaw', 'made']"
236,Jun 12,2017,Prius 2 Hybrid,Windshield Cracks Easily,"9,400 miles","['2016', 'prius', '2', 'sedan', 'windshield', 'struck', 'small', 'rock', 'cast', 'laterally', 'across', 'freeway', 'several', 'lane', 'right', 'one', 'would', 'skip', 'stone', 'across', 'water', 'traveling', '55mph', 'unforeseeable', 'unavoidable', 'act', 'chance', 'kicked', 'another', 'car', 'tire', 'initial', 'damage', 'see', 'photo', 'series', 'two', 'unsightly', 'repairable', 'crater', 'outer', 'layer', 'glass', 'within', 'minute', 'epoxy', 'repair', 'possible', 'two', 'crack', 'grew', 'alarming', 'rate', 'smaller', 'crack', 'went', 'vertically', 'fast', 'large', 'crack', 'ran', 'horizontally', 'within', 'day', 'spanned', 'entire', 'driverâs', 'side', 'crack', 'reflects', 'refracts', 'light', 'driverâs', 'eye', 'thick', 'enough', 'obstruct', 'vision', 'even', 'dim', 'light', 'primary', 'travel', 'east', 'morning', 'west', 'night', 'obstruction', 'vision', 'active', 'danger', 'typically', 'oriented', 'sun']"
237,Aug 17,2016,Prius 4D HA Hybrid,Windshield Cracks Easily,"5,600 miles","['windshield', 'cracked', 'second', 'time', 'never', 'heard', 'rock', 'hit', 'found', 'point', 'impact', 'next', 'day', 'crack', 'horizontal', 'across', '23rds', 'windshield']"
238,Apr 28,2016,Prius 4D HA Hybrid,Windshield Cracks Easily,"1,250 miles","['small', 'pebble', 'hit', 'windsheild', 'could', 'barely', 'hear', 'hit', 'cracked', 'safelight', 'fixed']"
239,Jul 06,2017,Prius 4D HA Hybrid,Windshield Cracks Easily,"16,900 miles","['windshield', 'cracked', 'fourth', 'time', 'never', 'heard', 'rock', 'hit', 'replace', 'glass', '3', 'big', 'crack', 'ive', 'afraid', 'replace', 'glad', 'didnt', 'second', 'crack', 'could', 'put', '3', 'windshield', 'car', '16900', 'mile', 'real', 'design', 'flaw', 'shape', 'glass', 'toyota', 'made', 'windshield', 'thin', 'save', 'weight', 'hybrid', 'windshield', 'cost', '1300', 'buy', 'outright', 'nobody', 'make', 'aftermarket', 'locate']"
240,Jun 06,2017,Prius 4D HA Hybrid,Windshield Cracks Easily,"16,000 miles","['windshield', 'cracked', 'third', 'time', 'heard', 'rock', 'hit', 'time', 'even', 'saw', 'hit', 'small', 'pebble', 'driving', '55mph', 'far', 'right', 'lane', 'avoid', 'traffic']"
241,Aug 11,2016,Prius,Windshield Cracks Easily,"9,500 miles","['windshield', 'constantly', 'getting', 'hit', 'pebble', 'three', 'crack', 'windshield', 'afraid', 'get', 'replaced', 'would', 'waste', 'money', 'constantly', 'hit', 'pebble', 'dont', 'know', 'design', 'fault', 'problem', 'first', 'prius', 'really', 'like', 'car', 'except']"
242,Feb 22,2017,Passat GLS 1.8L,Oil Sludge Resulting In Engine Failure,"105,000 miles","['car', 'driving', 'perfect', 'problem', 'suden', 'car', 'start', 'making', 'weird', 'noise', 'dead', 'car', 'great', 'condition', 'cosmetically', 'mechanically', 'beautiful', 'car', 'first', 'vw', 'love', 'hate', 'year', 'befor', 'died', 'friend', 'car', 'piece', 'garbage', 'outlasted', 'solid', 'car', 'looked', 'online', 'found', 'want', 'justice', 'car', 'beautiful', 'became', 'lifelong', 'member', 'vw', 'hope', 'stand', 'behind', 'work']"
243,Mar 20,2013,Passat,Oil Sludge Resulting In Engine Failure,"124,000 miles","['car', '3', 'month', 'car', 'shut', 'disappointed', 'son', 'bought', 'car', 'birthday', 'wanted', 'safe', 'vehicle', 'drive', 'especially', 'winter', 'driving', 'town', '20', 'mile', 'away', 'car', 'sudden', 'shut', 'cold', 'embarrassing', 'call', 'brother', 'come', 'get', 'tow', 'car', 'home', 'halbinsal', 'escanaba', 'mi', 'look', 'said', 'need', 'new', 'enginethe', 'timing', 'belt', 'broke', 'cost', '4000', 'fix', 'devastated', 'dont', 'kind', 'money', 'fix']"
244,Jan 01,2010,Passat 1.8L T,Oil Sludge Resulting In Engine Failure,"120,000 miles","['orings', 'leaking', 'oil', 'cylindersthousands', 'dollar', 'repair', 'fixcheck', 'engine', 'code', 'persistentcatalytic', 'converter', 'full', 'burnt', 'oilo2', 'sensor', 'trip', 'check', 'engine', 'code', 'result', 'oil', 'exhaustthereby', 'wont', 'pas', 'inspection', 'without', 'replacement', 'catconverter', 'sensor', 'fix', 'though']"
245,Dec 24,2012,Passat GLS 1.8L T,Oil Sludge Resulting In Engine Failure,"108,000 miles","['bought', '2002', 'passat', '2009', 'warranty', '2012', 'always', 'got', 'synthetic', 'oil', 'change', 'factory', 'recommended', 'timemiles']"
246,Aug 01,2012,Passat Highline 1.8t,Oil Sludge Resulting In Engine Failure,"104,390 miles","['oil', 'service', 'card', 'month', 'mention', 'oil', 'sludge', 'system', 'still', 'refused', 'fix', 'problem', 'account', 'engine', 'shut', 'safe', 'mode', 'drivable', 'stopped', 'changed', 'part', 'flushing', 'entire', 'oil', 'system', 'turbo', 'seems', 'okay', 'said', 'car', 'currently', 'work', 'although', 'im', 'currently', 'unsure', 'problem', 'removed', 'changing', 'oil', 'type', 'service', 'done', 'dealership']"
247,Jan 23,2013,Passat GL,Oil Sludge Resulting In Engine Failure,"105,000 miles","['engine', 'light', 'came', 'driving', 'took', 'car', 'mechanic', 'thought', 'could', 'oil', 'pump', 'researching', 'came', 'learn', 'oil', 'sludge', 'way', 'carmax', 'look', 'engine', 'shut', 'needless', 'say', 'leverage', 'negatively', 'impacted', 'showed', 'carmax', 'tow', 'truck', 'gave', '1000']"
248,Jan 16,2012,Passat 3.2L,Oil Sludge Resulting In Engine Failure,"138,000 miles","['bought', 'vw', 'passat', 'october', '2010', 'taking', 'home', 'ended', 'taking', 'back', 'monday', 'various', 'problem', 'took', '90', 'day', 'fix', 'car', 'complaint', 'oil', 'light', 'came', 'took', 'get', 'oil', 'change', 'mechanic', 'told', 'sludge', 'engine', 'could', 'five', 'receipt', 'change', 'motor', 'running', 'loud', 'understand', 'cause', 'change', 'oil', 'pump', 'motor', 'vw', 'several', 'complaint', 'problem', 'wont', 'anything', 'appears', 'design', 'problem']"
249,Nov 16,2011,Passat 1.8L T,Oil Sludge Resulting In Engine Failure,"97,000 miles","['bought', '2002', 'model', 'vw', 'passat', '18t', 'year', 'half', 'ago', '86000', 'mile', 'event', 'though', 'heard', 'sludge', 'problem', 'put', 'synthetic', 'oil', 'couple', 'time', 'last', 'change', 'actually', 'week', 'prior', 'damage', 'couple', 'week', 'ago', 'car', 'started', 'flashing', 'oil', 'pressure', 'warning', 'second', 'returned', 'normal', 'oil', 'pressure', 'light', 'constantly', 'diagnosed', 'sludge', 'problem']"
250,Aug 14,2011,Passat GLS 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"94,000 miles","['8152011', 'bought', 'nice', '2002', 'vw', 'w', '85000', 'mile', '6', 'month', 'put', '10k', 'decided', 'buy', 'something', 'w', 'even', 'better', 'gas', 'mileage', 'sold', 'nice', 'young', 'couple', 'baby', 'lived', 'recent', 'tornado', 'next', 'day', 'stop', 'engine', 'light', 'came', 'engine', 'seized', 'towed', 'dealer', 'saying', 'due', 'sludge', 'engine', 'need', 'replaced', 'going', 'cost', '5k', 'bought', 'car', '4500', 'go', 'figure', 'im', 'tonight', 'trying', 'figure', 'im', 'going', 'hate', 'happened', 'im', 'probably', 'going', 'give', 'money', 'back', 'way', 'see', 'vw', 'chance', 'create', '2', 'happy', 'customer', '2', 'antivw', 'customer', 'ive', 'read', 'lawsuit', 'vw', 'would', 'cover', 'least', '12', 'would', 'nice', 'would', 'cover', 'half', 'would', 'still', 'great', 'car', 'theyll', '2', 'people', 'never', 'buy', 'another', 'vw', 'wish', 'u', 'luck']"
251,Mar 24,2011,Passat PGS 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"113,000 miles","['got', 'car', '2002', 'passat', '18t', 'car', 'dealer', 'said', 'bought', 'auction', 'put', '1200', 'mile', 'getting', 'car', 'car', 'ran', 'fine', 'suddenly', 'saw', 'oil', 'spill', 'wherever', 'park', 'pulled', 'oil', 'dipstick', 'put', 'sludge', 'look', 'like', 'white', 'chocolate', 'color', 'viscous', 'fluid', 'dipstick', 'pulled', 'took', 'mechanic', 'inspection', 'said', 'history', 'someone', 'turned', 'turbo', 'multiple', 'place', 'see', 'oil', 'leak', 'said', 'going', 'cost', 'lot', 'repair', 'asked', 'take', 'engine', 'salvage', 'yard', 'switch', 'let', 'see', 'come', 'never', 'volkswagen', 'againwhat', 'piece', 'crap', 'bought', 'even', 'vw', 'dealership', 'say', 'car', 'fine', 'buy', 'looking', 'fault']"
252,Oct 13,2009,Passat 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"76,000 miles","['car', 'started', 'taking', 'several', 'time', 'start', 'camshaft', 'position', 'sensor', 'threw', 'error', 'replaced', 'sensor', 'problem', 'persisted', 'eventually', 'driving', 'home', 'car', 'shut', 'engine', 'completely', 'destroyed', 'replace']"
253,Dec 21,2010,Passat 1.8L,Oil Sludge Resulting In Engine Failure,"119,484 miles","['know', 'anything', 'car', 'knew', 'something', 'wrong', 'drove', 'car', 'mechanic', 'left', 'called', 'day', 'later', 'said', 'research', 'online', 'oil', 'sludge', 'buildup', 'problem', 'would', 'easy', 'fix', 'would', 'run', '500', 'week', 'later', 'called', 'told', 'timing', 'belt', 'broken', 'oil', 'sludge', 'stopped', 'cam', 'shaft', 'froze', 'lifter', 'also', 'said', 'car', 'even', 'start', 'need', 'new', 'engine', 'could', 'get', 'used', 'one', '2500', '1500', 'labor', 'could', 'car', 'back', 'around', '4000', 'could', 'give', '300', 'tow', 'car', 'home', 'question', 'ive', 'found', 'timing', 'belt', 'broken', 'would', 'able', 'drive', 'car', 'first', 'place', 'im', 'upset', 'really', 'know', 'talk', 'mechanic', 'basically', 'need', 'advice', 'intimidate', 'really', 'feel', 'taking', 'advantage']"
254,Sep 13,2010,Passat 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"120,000 miles","['bought', '2002', 'vw', 'passat', 'feb', '32010bought', 'extended', 'warranty', 'itdid', 'oil', 'change', 'maintained', 'car', 'extented', 'warranty', 'expectation', 'driving', 'car', 'stopped', 'completleytook', 'warranty', 'denied', 'read', 'oil', 'sludge', 'never', 'crossed', 'mined', 'thought', 'previous', 'owner', 'maintaine', 'vehical', 'reading', 'complaint', 'realize', 'previous', 'owner', 'whole', 'manufactor', 'failed', 'recall', 'problemesomebody', 'pay', 'repair', 'vehicals', 'try', 'protect', 'ourselfs', 'well', 'case', 'warranty', 'even', 'fail', 'im', 'paying', 'car', 'drive', 'still', 'carry', 'note']"
255,Aug 28,2010,Passat 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"150,000 miles","['second', 'owner', 'vehicle', 'received', 'recall', 'notice', 'never', 'anything', 'sludge', 'engine', 'problem', 'third', 'time', 'problem', 'happened', 'since', 'owned', 'passat', 'nov', '13', '2006', 'nov', '24', '2009', 'aug', '28', '2010', 'class', 'action', 'suit', 'vw', 'clearly', 'know', 'problem', 'want', 'brand', 'loyalty', 'customer', 'loyalty', 'right', 'thing', 'fixing', 'problem', 'affect', 'engine']"
256,May 19,2010,Passat Sedan 1.8t,Oil Sludge Resulting In Engine Failure,"108,235 miles","['vw', 'passat', 'need', 'get', 'touch', '2002', 'vw', 'passat', '18t', 'ridiculous', 'going', 'car', 'way', 'market', 'consumer', 'demand', 'drop', 'sky', 'rocketing', 'hill', 'nothing', 'done', 'compensate', 'consumer', 'go', 'group', 'getting', 'vote', 'together', 'please', 'let', 'know', 'wan', 'na', 'part', 'business', 'done', 'supposed', 'consumer', 'satisfaction', 'thing', 'anymore', 'make', 'sale', 'see', 'later', 'car', 'maker', 'stand', 'behind', 'product', 'make', 'sure', 'serve', 'consumer', 'way', 'around', 'still', 'end', 'making', 'money', 'consumer', 'ordering', 'part', 'every', 'day', 'way', 'safe', 'road', 'cause', 'accident', 'others', 'danger', 'let', 'something']"
257,Jan 05,2009,Passat 1.8L T,Oil Sludge Resulting In Engine Failure,"83,000 miles","['let', 'call', 'spade', 'spade', '2002', 'passat', 'piece']"
258,Jan 20,2010,Passat 1.8L Turbo,Oil Sludge Resulting In Engine Failure,"104,000 miles","['bought', 'car', '3500', 'loan', 'car', 'loan', 'car', 'drive', 'vw', 'ashamed', 'produced', 'product', 'like', 'never', 'another', 'vw', 'car', 'tell', 'everyone', 'listen', 'avoid', 'vws', 'let', 'know', 'lawsuit', 'vw', 'paying', 'new', 'engine', 'known', 'problem']"
259,Mar 21,2010,Passat,Oil Sludge Resulting In Engine Failure,"50,000 miles","['bought', 'car', 'daughter', '2002', 'sophomore', 'high', 'school', 'hoping', 'would', 'take', 'college', 'also', 'bought', 'fidelity', 'insurance', 'policy', 'well', 'oil', 'change', 'daughter', 'took', 'car', 'dealer', 'oil', 'change', 'dealership', 'used', 'regular', 'oil', '50000', 'mile', 'engine', 'replacedneither', 'vw', 'fidelity', 'insurance', 'would', 'bear', 'cost', 'repaymenta', 'oil', 'change', 'called', 'timely', 'mannerwhateverthe', 'wrong', 'oil', 'used', 'neither', 'company', 'dealership', 'insurance', 'company', 'would', 'manupwe', 'still', 'carand', 'always', 'making', 'costly', 'repairswhat', 'piece', 'junk']"
260,Feb 11,2010,Passat 1.8t,Oil Sludge Resulting In Engine Failure,"150,000 miles","['never', 'working', 'vehicle', 'pain', 'as', 'changing', 'oil', 'pump', 'hell', 'remove', 'front', 'bumper', 'ok', 'pull', 'entire', 'front', 'assembly', 'away', 'body', 'ifyou', 'say', 'took', 'extra', 'step', 'finally', 'find', 'root', 'problem', 'oil', 'pressure', 'problem', 'oil', 'lift', 'tube', 'screen', 'become', 'restricted', 'crystalized', 'particle', 'sludge', 'oil', 'poor', 'design', 'give', 'approx', '25', 'square', 'inch', 'screen', 'pas', 'anyway', 'removed', 'pump', 'lift', 'tube', 'went', 'ahead', 'replaced', 'pump', 'since', 'lift', 'tube', 'let', 'soak', 'carb', 'cleaning', 'solution', 'cleaned', 'done', 'oil', 'pan', 'interior', 'saw', 'sign', 'low', 'oil', 'use', 'pan', 'believe', 'catalyst', 'problem', 'bottom', 'line', 'little', 'elbo', 'grease', 'frustration', 'saved', 'thousand', 'dollar', 'hope', 'give', 'insite', 'seen', 'engine']"
261,Jan 12,2010,Passat 1.8L,Oil Sludge Resulting In Engine Failure,"76,000 miles","['volkswagen', 'aware', 'design', 'problem', 'extended', 'warranty', 'eight', 'year', 'date', 'purchase', 'proper', 'record', 'car', 'maintenance', 'history', 'problem', 'oil', 'sludge', 'building', 'destroying', 'oil', 'pump', 'engine', 'fix', 'engine', 'replacement', 'current', 'blue', 'book', 'value', 'car', 'eight', 'year', 'plus', '20', 'day', 'cover', 'damage', 'car', 'worthless', 'car', 'looking', 'see', 'class', 'action', 'suit', 'please', 'contact', 'information', 'regarding', 'trish', 'b']"
262,Aug 12,2020,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"54,378 miles","['getting', 'worse', 'even', 'im', 'taking', 'stop', 'light', 'jerking', 'getting', 'worse', 'ive', 'read', 'thats', 'there', 'recall', 'need', 'get', 'fixed', 'without', 'pay', 'need', 'go']"
263,Jul 21,2022,Focus 4 cyl,Bad Hesitation/Jerking When Starting From A Stop Position,"79,000 miles","['really', 'disappointing', 'ford', 'let', 'car', 'embarrassment', 'american', 'car']"
264,Jan 12,2022,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"81,000 miles","['ford', 'focus', 'causing', 'problem', '6', 'month', 'powershift', 'transmission', 'dualclutch', 'bad', 'hesitationjerking', 'starting', 'stop', 'position', 'shuddering', 'whenever', 'come', 'stopping', 'position', 'wont', 'reverse', 'grind', 'time', 'taking', 'mechanic', 'couldnt', 'even', 'solve', 'problem', 'im', 'tired', 'ford', 'annoying', 'transmission', 'problem', 'cant', 'seem', 'ever', 'fix', 'ford', 'need', 'figure', 'transmission', 'issue', 'im', 'sick', 'tired', 'ford', 'vehicle']"
265,Jun 15,2020,Focus SE,Bad Hesitation/Jerking When Starting From A Stop Position,"66,000 miles","['4th', 'time', 'vehicle', 'shop', 'since', 'purchase', 'december', '2018', 'focus', '3', 'clutch', 'replacement', 'since', 'day', '3', 'ownership', 'probably', 'ford', 'dealer', 'certified', 'car', 'reality', 'ford', 'never', 'resold', 'vehicle', 'ron', 'norris', 'titusville', 'fl', 'dealership', 'paid', 'way', 'much', 'certified', 'helped', 'sale', '12k', 'december', '2018', 'still', 'owe', '9500ford', 'please', 'buy', 'back', 'car', 'walk', 'away', 'asking', 'anything', 'return', 'clear', 'bill', 'crud', 'car', 'anyhoo', 'today', 'driving', 'check', 'engine', 'light', 'come', 'power', 'lost', 'engine', 'still', 'running', 'rpm', 'run', 'high', 'power', 'clutch', 'issue', 'maybe', 'whole', 'transmission', 'finally', 'went', 'caput']"
266,Dec 17,2018,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"101,000 miles","['purchased', 'car', 'august', '2016', 'day', '1', 'googled', 'problem', 'convinced', 'thats', 'transmission', 'supposed', 'long', 'didnt', 'take', 'fast', 'would', 'ok', 'purchased', 'car', '18', 'yo', 'daughter', 'leaving', 'college', 'drove', 'car', 'two', 'year', 'december', '2018', 'returned', 'purchasing', 'first', 'car', 'taking', 'stop', 'horrible', 'jerky', 'almost', 'feel', 'like', 'car', 'want', 'stall']"
267,Aug 10,2018,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"135,000 miles","['issue', 'car', 'past', 'year', 'transmission', 'known', 'ford', 'admits', 'sending', 'car', 'bad', 'transmission', 'still', 'done', 'anything', 'problem', 'cant', 'even', 'drive', 'car', 'right', 'issue', 'currently', 'paying', 'car', 'drive', 'ford', 'need', 'recall', 'car', 'something', 'since', 'screw', 'first', 'place', 'honestly', 'buy', 'another', 'ford']"
268,Aug 03,2019,Focus ES 3.2L,Bad Hesitation/Jerking When Starting From A Stop Position,"88,919 miles","['issue', 'along', 'indicator', 'light', 'showing', 'transmission', 'fault', 'service', 'come', 'type', 'transmission', 'allowed', 'vehicle', 'feel', 'like', 'youre', 'driving', 'moped', 'many', 'time', 'shift', 'gear']"
269,Feb 01,2016,Focus Titanium 2.0L 4 cyl. Ffv,Bad Hesitation/Jerking When Starting From A Stop Position,"15,000 miles","['yeah', 'bought', '2014', 'ford', 'focus', 'titanium', 'hatchback', 'gaudin', 'ford', 'january', '2016', 'roughly', '146', 'mile', 'asked', 'hesitation', 'told', 'way', 'transmission', 'designed', 'worst', 'car', 'ever', 'still', 'love', 'car', 'ugh', 'transmission', 'getting', 'worse', 'lately']"
270,May 04,2019,Focus SE 2.0L 4 cyl,CVT transmission,"61,223 miles","['never', 'buy', 'ford', 'product', 'first', 'car', 'ford', 'ive', 'always', 'fondness', 'ford', 'car', 'truck', 'owned', 'fordsexplorer', '3', 'escape', '2', 'focus', 'fiesta', '7', 'think', '6', 'transmission', 'issue', 'cant', 'believe', 'took', 'long', 'figure', 'car', 'junk', 'want', 'support', 'american', 'made', 'company', 'unfortunately', 'seems', 'ford', 'doesnt', 'care', 'producing', 'good', 'solid', 'product', 'last', 'im', 'done', 'ford']"
271,Oct 05,2015,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"36,000 miles","['bought', '2014', 'ford', 'focus', 'used', '10052015', 'biggest', 'piece', 'crap', 'ever', 'owned', 'rental', 'car', 'purchased', 'manly', 'honda', 'santa', 'rosa', 'would', 'like', 'fixed', 'california', 'lemon', 'law']"
272,Jan 01,2019,Focus SE 2.4L,Bad Hesitation/Jerking When Starting From A Stop Position,"20,000 miles","['worst', 'car', 'ive', 'ever', 'grind', 'shift', 'due', 'dual', 'clutch', 'trans', 'dealer', 'specified']"
273,Oct 08,2018,Focus SE 2.0L,Bad Hesitation/Jerking When Starting From A Stop Position,"60,000 miles","['2014', 'ford', 'focus', 'transmission', 'problem', 'hesitates', 'shudder', 'surge', 'jerk', 'attempting', 'go', 'stop', 'isnt', 'recall', 'serious', 'issue', 'there', 'class', 'action', 'settlement', 'amount', 'basically', 'nothing', 'want', 'sell', 'vehicle', 'clearly', 'hindrance', 'want', 'vehicle', 'drive', 'amount', 'great', 'financial', 'loss', 'car', 'clearly', 'lemon', 'ford', 'choose', 'recall', 'rectify', 'problem', 'dont', 'understand', 'determine', 'issue', 'deem', 'recall']"
274,Aug 15,2016,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"12,000 miles","['bought', 'car', 'august', '2016', 'september', '2016', 'called', 'dealer', 'stated', 'fixed', 'problem', 'would', 'provide', 'paperwork', 'car', 'shutter', 'hesitates', 'drift', 'backwards', 'hesitates', 'jerk', 'going', 'stop', 'start']"
275,Dec 01,2013,Focus SE 2.0L I4,Bad Hesitation/Jerking When Starting From A Stop Position,"5,000 miles","['leaky', 'transmission', 'seal', 'allowed', 'fluid', 'pas', 'clutch', 'presented', 'jerking', 'lagging', 'acceleration', 'contacted', 'ford', 'rejected', 'claim', 'seal', 'replacement', 'stating', 'car', 'vin', 'unaffected', 'verified', 'ford', 'dealershipsolution', 'upgraded', 'better', 'brand']"
276,Aug 10,2018,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"80,000 miles","['blasted', 'thing', 'worth', '5000', 'dollar', 'repair', 'bill', 'already', '3000', 'told', 'get', 'running', 'may', 'fix', 'issue', 'car', 'suck', 'think', 'ford', 'buy', 'back', 'online', 'found', 'transmission', 'issue', 'known', 'problem', 'particular', 'car', 'get', 'help', 'real', 'person', 'getting', 'robot', 'leave', 'message', 'meanwhile', 'collection', 'call', 'loan', 'continue', 'stuck', 'position', 'either', 'fix', 'let', 'get', 'repossessed', 'please', 'help']"
277,Apr 09,2014,Focus,Bad Hesitation/Jerking When Starting From A Stop Position,"5,592 miles","['buy', 'focus', 'fiesta', 'transmission', 'issuesi', 'thankfully', 'leased', 'piece', 'garbage', 'three', 'year', '2014', 'even', 'test', 'drive', 'noticed', 'hesitating', 'assured', 'car', 'adapt', 'driving', 'felt', 'made', 'sense', 'pretty', 'mechanically', 'savvy', 'come', 'car', 'new', 'figured', 'break', 'period']"
